Date,Amount,Description,Bank
18/06/2017,-16.4,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 1506 AUD000000001640",BENDIGO
3/8/2017,-12.50,LEFT BOWER CAFE SUTHERLAND NS AUS Card xx7113 Value Date: 29/07/2017,CBA
27/09/2016,-0.3,INTERNATIONAL TRANSACTION FEE,BENDIGO
03/05/2016,-14.99,"RETAIL PURCHASE-INTERNATIONAL ADOBE CREATIVE CL,800-833-6687 0205 AUD000000001499",BENDIGO
05/01/2016,302.0,E-BANKING TRANSFER 0097574257 00247011611301,BENDIGO
04/11/2016,-36.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 0211 AUD000000003600",BENDIGO
26/05/2017,-4.00,SQ *WHITE HORSE COFFEE Sutherland NS AUS Card xx8731 Value Date: 24/05/2017,CBA
02/08/2017,-242.0,"RETAIL PURCHASE EVERTEC PTY LTD, LIDCOMBE 0108 AUD000000024200",BENDIGO
22/01/2017,-51.0,"RETAIL PURCHASE Soul Burger - Glebe, Glebe 2101 AUD000000005100",BENDIGO
28/05/2017,-87.5,"RETAIL PURCHASE IAN THORPE AQUATIC, ULTIMO 2605 AUD000000008750",BENDIGO
16/08/2017,-5.00,SMIGGLE S84 SYDNEY NS AUS Card xx8731 Value Date: 13/08/2017,CBA
17/11/2016,-20.0,"RETAIL PURCHASE BIG W 0151, PHILLIP 1611 AUD000000002000",BENDIGO
09/12/2015,-0.09,INTERNATIONAL TRANSACTION FEE,BENDIGO
20/02/2016,-18.7,"RETAIL PURCHASE MGM SPICES, SURRY HILLS 1902 AUD000000001870",BENDIGO
29/10/2015,-0.12,INTERNATIONAL TRANSACTION FEE,BENDIGO
23/12/2016,-58.38,"RETAIL PURCHASE-INTERNATIONAL NISHAT LINEN, KARACHI 2112 PKR000000443800",BENDIGO
1/9/2017,-39.95,VICTORIAS BASEMENT SYDNEY NS AUS Card xx8731 Value Date: 29/08/2017,CBA
15/06/2017,-8.00,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 13/06/2017,CBA
10/10/2017,-12.0,"RETAIL PURCHASE BRONE SURF LIFE SAVING, BRONTE 0810 AUD000000001200",BENDIGO
20/09/2017,-5.80,SUSHI HUB BROADWAY SYDNEY NS AUS Card xx8731 Value Date: 18/09/2017,CBA
25/08/2016,-29.99,"RETAIL PURCHASE SYDNEYS BABY KINGDO,ALEXANDRIA 2208 AUD000000002999",BENDIGO
15/11/2015,-0.2,INTERNATIONAL TRANSACTION FEE,BENDIGO
28/01/2017,-107.74,"RETAIL PURCHASE IKEA TEMPE1, TEMPE 2701 AUD000000010774",BENDIGO
10/01/2016,-5.55,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Zynga In,GOOGLE.COM/CH 0801 AUD000000000555",BENDIGO
28/08/2016,-60.0,"RETAIL PURCHASE CLEAN EXPRESS LA,IMO NSW 2608 AUD000000006000",BENDIGO
12/06/2016,-61.5,"RETAIL PURCHASE CAFE MORSO, PYRMONT 1006 AUD000000006150",BENDIGO
27/06/2017,-15.00,EMSHAW PTY LIMITED SUTHERLAND  AUS Card xx7113 Value Date: 25/06/2017,CBA
11/01/2017,-42.98,"RETAIL PURCHASE YAN ZHOU, ULTIMO 0801 AUD000000004298",BENDIGO
5/7/2017,-17.17,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 01/07/2017,CBA
23/05/2017,-5.0,"RETAIL PURCHASE GUZMAN Y GOMEZ I,DARLING HARBO 2005 AUD000000000500",BENDIGO
03/09/2016,-9.2,"RETAIL PURCHASE Sonoma Glebe, Glebe 0209 AUD000000000920",BENDIGO
1/8/2017,-10.88,UBER   *TRIP EOQBT SYDNEY NS AUS Card xx8731 Value Date: 28/07/2017,CBA
24/05/2017,-79.99,"Direct Debit 119218 VODAFONE T3,BDD3B,F",CBA
30/08/2016,-0.08,INTERNATIONAL TRANSACTION FEE,BENDIGO
29/04/2017,-13.5,"RETAIL PURCHASE MCDONALDSCAMPERDOWN,CAMPERDOWN 2604 AUD000000001350",BENDIGO
14/06/2017,-38.75,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 11/06/2017,CBA
21/05/2017,-16.99,"RETAIL PURCHASE YAN ZHOU, ULTIMO 1805 AUD000000001699",BENDIGO
03/03/2016,-70.25,"RETAIL PURCHASE-INTERNATIONAL ECONOMIST SUBSCRIPTION, LONDON 2902 USD000000005000",BENDIGO
26/09/2017,-7.16,ROMEOS FOODHALL SUTHER SUTHERLAND  AUS Card xx7113 Value Date: 25/09/2017,CBA
02/03/2016,-72.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 2902 AUD000000007200",BENDIGO
29/07/2016,390.0,E-BANKING TRANSFER 0107524902 00247011611301,BENDIGO
01/07/2016,-31.5,"RETAIL PURCHASE MENULOG PTY LTD, SYDNEY 3006 AUD000000003150",BENDIGO
25/05/2017,-65.66,PLINE PH SUTHERLAND SUTHERLAND  AUS Card xx7113 Value Date: 20/05/2017,CBA
14/02/2016,-10.5,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 1302 AUD000000001050",BENDIGO
29/03/2017,-11.11,"RETAIL PURCHASE THE ROSE HOTEL, CHIPPENDALE 2603 AUD000000001111",BENDIGO
06/01/2016,57.7,CREDIT 2112 CHAT THAI RANDWICK RANDWI,BENDIGO
04/03/2016,-118.65,"RETAIL PURCHASE ALDI 066, BROADWAY 0203 AUD000000011865",BENDIGO
01/10/2017,-34.81,"RETAIL PURCHASE POWERSHOP AUSTRALIA, MELBOURNE 2909 AUD000000003481",BENDIGO
12/07/2016,-9.0,"RETAIL PURCHASE UNIVERSITY OF NSW, KENSINGTON 1107 AUD000000000900",BENDIGO
21/07/2016,-24.95,"RETAIL PURCHASE PAYPAL *GORILLAFILM,4029357733 1907 AUD000000002495",BENDIGO
24/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 22/08/2017,CBA
03/03/2016,-2.11,INTERNATIONAL TRANSACTION FEE,BENDIGO
12/9/2017,-10.77,UBER   *TRIP H72CA SYDNEY NS AUS Card xx8731 Value Date: 08/09/2017,CBA
19/07/2016,-12.5,"RETAIL PURCHASE Sonoma Glebe, Glebe 1707 AUD000000001250",BENDIGO
05/03/2016,-140.0,"RETAIL PURCHASE AUST FOR UNHCR, SYDNEY 0403 AUD000000014000",BENDIGO
23-08-2017,-19.96,ALDI STORES ASHFIELD,ANZ
12/12/2015,-578.38,"RETAIL PURCHASE CHINA SOU2, GUANG ZHOU 0912 AUD000000057838",BENDIGO
23/12/2016,-1.75,INTERNATIONAL TRANSACTION FEE,BENDIGO
02/09/2016,-14.95,"RETAIL PURCHASE WOOLWORTHS 1716, HAYMARKET 3108 AUD000000001495",BENDIGO
10/6/2017,-7.50,Soul Origin - Hunter Sydney NS AUS Card xx7113 Value Date: 08/06/2017,CBA
