,Merchant,Suburb,GPlace_Name,GPlace_Id,GAddr,GCat0,GCat1,GCat2
0,HARVIN SPICES,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,grocery_or_supermarket,UNCATEGORIZED,UNCATEGORIZED
1,DELISSE,SYDNEY,Delisse,ChIJsWvvmWquEmsR_6P02hd1eGQ,"52 Martin Place, Sydney",cafe,bakery,restaurant
2,SOUTHGATE GROUP AUSTRA,SYDNEY,West End Motor Group Pty Ltd,ChIJ8QmHpuaYEmsRMprnJNboLQo,Blacktown,car_dealer,store,UNCATEGORIZED
3,Deli Ziosa,SYDNEY,Deli Ziosa,ChIJE4-sEUCuEmsRSmjjt4PXDlE,"Shop 6.17, MLC Food Court, 19/21 Martin Place, Sydney",meal_takeaway,restaurant,food
5,BING LEE HURSTVILLE,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
6,LA CANTINA ON KENT,SYDNEY,La Cantina Café North Sydney,ChIJU1q2xOyuEmsRUs023sEMv00,"168 Walker Street, North Sydney",cafe,food,UNCATEGORIZED
7,DIRECT DEBIT 142619 TPG INTERNET DH9Q0HB22EP03GJKN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
8,LUO  SONG CHICKEN QPS PEAKHURST  AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
9,PLINE PH SUTHERLAND,SUTHERLAND,Priceline Pharmacy Interchange,ChIJSe6UidOoEmsRbVGylc3c6vk,"40/436 Victoria Avenue, Chatswood",pharmacy,health,store
10,UBER TRIP WJAQC HELPU 14518236738 AU AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
12,JB HI FI MIRANDA,MIRANDA,JB Hi-Fi Miranda,ChIJiaA5U5vHEmsREPFXglmojcU,"Westfield Miranda Shopping Centre, G114-115/600 Kingsway, Miranda",electronics_store,car_repair,home_goods_store
13,COLES 4789,SUTHERLAND,Coles Supermarkets,ChIJI-V7O0jHEmsRLYuA_QQYWVM,"822-826 Old Princes Highway, Sutherland",grocery_or_supermarket,food,store
14,PHARMACY DEPOT HURSQPS,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
15,ROMEOS FOODHALL SUTHER,SUTHERLAND,Romeos IGA Food Hall Sutherland,ChIJj3jB9kfHEmsR_ul1DArSB5s,"561 President Avenue, Sutherland",shopping_mall,grocery_or_supermarket,food
16,TRANSFER TO OTHER BANK NETBANK RENT PRESIDENT AVE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
17,DIRECT DEBIT 142619 TPG INTERNET DH9M1IFK4EH03GJKN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
18,WDL ATM CBA ATM  WYNYARD A      NSW 200901   AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
19,LONGO GROUP PTY LTD GYMEA  AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
20,PRICERIGHT VARIETY,SUTHERLAND,Priceright,ChIJ38frfUjHEmsR4adc-al6bm0,"8/41-47 Eton Street, Sutherland",store,UNCATEGORIZED,
22,SQ WHITE HORSE COFFEE,SUTHERLAND,White Horse Coffee,ChIJ4eneg0jHEmsR5VC1226oJ7w,"2/137 Flora Street, Sutherland",cafe,food,store
24,CAFE 2232,SUTHERLAND,Cafe 2232,ChIJNwrdV0jHEmsRjm5uq7IzdfI,"43 East Parade, Sutherland",cafe,food,UNCATEGORIZED
26,TRANSPORT FOR NSW,SYDNEY,Lost Property Transport Sydney Trains,ChIJK9LH7iOuEmsRxJXGAVcr_s4,"484 Pitt Street, Haymarket",UNCATEGORIZED,,
27,GUZMAN Y GOMEZ MLC QPS,SYDNEY,Guzman y Gomez Mexican Taqueria,ChIJrT6HsT-uEmsR8d3mJ5DkCKA,"MLC Centre Food Court, 14 Martin Place, Sydney",restaurant,food,UNCATEGORIZED
28,DIRECT DEBIT 119218 VODAFONE T3D11E51E,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
29,Crafty Cuts,SYDNEY,Crafty Cuts,ChIJk8tbCECuEmsRES9TzgBsDDI,"MLC Centre, Tenancy 6:16/19-29 Martin Place, Sydney",meal_takeaway,restaurant,food
31,UBER TRIP IUFLJ HELPU 14518236738 AU AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
35,POST   SUTHERLAND PO,SUTHERLAND,Australia Post,ChIJXRt3hEjHEmsRdyJ5a0mjrnA,"139 Flora Street, Sutherland",post_office,finance,UNCATEGORIZED
36,FORTUNATO  CO P L,SUTHERLAND,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
37,JUST FALAFEL CENTRAL,HAYMARKET,Street Food,ChIJJb7msyauEmsRG318IfuRAe0,"8/2 Lee Street, Haymarket",restaurant,meal_delivery,meal_takeaway
38,SUSHI HUB,BROADWAY,Sushi Hub Sydney Central,ChIJ9SHspiauEmsREv7orwlkA_I,"2/815-825 George Street, Haymarket",restaurant,food,UNCATEGORIZED
41,DAVID TRACY NSW PTY,SYDNEY,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
42,BIG W 0182,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
43,UBER   TRIP 6VFP2,SYDNEY,Uber Sydney,ChIJd29oCNqkEmsRg4kMlo6oK-g,"19 Victoria Avenue, Concord West",UNCATEGORIZED,,
44,HOK LAI PTY LTD    QPS,HAYMARKET,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
45,CTX SYLVANIA HEIGHTS SYLVANIA  AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
48,TASTE OF LEBANON HRS,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
49,FRANK AND BLANCO PL,SUTHERLAND,Frank and Blanco,ChIJv-28Y0jHEmsRMyll3NR6kr0,"790 Old Princes Highway, Sutherland",restaurant,food,UNCATEGORIZED
52,GoGetCarshare,HAYMARKET,GoGet CarShare Pod,ChIJVWxHdyuuEmsROkfOjA4jAK4,"402/59 Goulburn Street, Haymarket",UNCATEGORIZED,,
53,REMOVALIST GROUP PL CHIPPING NORT NS AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
57,Wdl ATM CBA ATM,SUTHERLAND,Commonwealth Bank,ChIJucC_pbavEmsRbtZ48zurdi4,"259 Darling Street, Balmain",bank,atm,finance
58,LAMB  CUMIN AUSTRAL CONDELL PARK NS AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
62,TRUPT PL EDMONDSON PAR  AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
64,CHEMIST WAREHOUSE,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
65,OFFICEWORKS 0251,SYDNEY,"Officeworks Pitt St, Sydney",ChIJDV30ZT6uEmsRcwI2fR-tkP0,"242 Pitt Street, Sydney",electronics_store,furniture_store,home_goods_store
66,CITY BEACH,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
67,PATTAN SUPERMARKET HARRIS PARK  AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
70,BEST  LESS,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
71,DANCEKOOL PTY LTD,HAYMARKET,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
73,MIRCHI HURSTVILLE IN,HURSTVILLE BC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
