postcode,suburb,state,latitude,longitude
200,Australian National University,ACT,-35.28,149.12
221,Barton,ACT,-35.2,149.1
800,Darwin,NT,-12.8,130.96
801,Darwin,NT,-12.8,130.96
804,Parap,NT,-12.43,130.84
810,Alawa,NT,-12.38,130.88
810,Brinkin,NT,-12.38,130.88
810,Casuarina,NT,-12.38,130.88
810,Coconut Grove,NT,-12.38,130.88
810,Jingili,NT,-12.38,130.88
810,Lee Point,NT,-12.38,130.88
810,Lyons,NT,-12.38,130.88
810,Millner,NT,-12.38,130.88
810,Moil,NT,-12.38,130.88
810,Muirhead,NT,-12.38,130.88
810,Nakara,NT,-12.38,130.88
810,Nightcliff,NT,-12.38,130.88
810,Rapid Creek,NT,-12.38,130.88
810,Tiwi,NT,-12.38,130.88
810,Wagaman,NT,-12.38,130.88
810,Wanguri,NT,-12.38,130.88
811,Casuarina,NT,-12.38,130.85
812,Anula,NT,-12.4,130.91
812,Buffalo Creek,NT,-12.4,130.91
812,Holmes,NT,-12.4,130.91
812,Karama,NT,-12.4,130.91
812,Leanyer,NT,-12.4,130.91
812,Malak,NT,-12.4,130.91
812,Marrara,NT,-12.4,130.91
812,Northlakes,NT,-12.4,130.91
812,Sanderson,NT,-12.4,130.91
812,Woodleigh Gardens,NT,-12.4,130.91
812,Wulagi,NT,-12.4,130.91
813,Sanderson,NT,0,0
814,Nightcliff,NT,-12.38,130.85
815,Charles Darwin University,NT,0,0
820,Bagot,NT,-12.41,130.86
820,Bayview,NT,-12.41,130.86
820,Charles Darwin,NT,-12.41,130.86
820,Coonawarra,NT,-12.41,130.86
820,Cullen Bay,NT,-12.41,130.86
820,Darwin DC,NT,-12.41,130.86
820,Darwin International Airport,NT,-12.41,130.86
820,Darwin MC,NT,-12.41,130.86
820,East Point,NT,-12.41,130.86
820,Eaton,NT,-12.41,130.86
820,Fannie Bay,NT,-12.41,130.86
820,Larrakeyah,NT,-12.41,130.86
820,Ludmilla,NT,-12.41,130.86
820,Parap,NT,-12.41,130.86
820,Raaf Base Darwin,NT,-12.41,130.86
820,Stuart Park,NT,-12.41,130.86
820,The Gardens,NT,-12.41,130.86
820,The Narrows,NT,-12.41,130.86
820,Winnellie,NT,-12.41,130.86
820,Woolner,NT,-12.41,130.86
821,Winnellie,NT,-12.43,130.88
822,Acacia Hills,NT,-12.8,131.13
822,Angurugu,NT,-12.8,131.13
822,Anindilyakwa,NT,-12.8,131.13
